EmployeeNumber,Age,AgeGroup,Gender,MaritalStatus,EducationField,Department,JobRole,JobLevel,BusinessTravel,MonthlyIncome,PercentSalaryHike,StockOptionLevel,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,YearsAtCompany,TenureBand,YearsInCurrentRole,YearsSinceLastPromotion,TotalWorkingYears,NumCompaniesWorked,OverTime,OverTime_Flag,DistanceFromHome,FlightRiskScore,RiskSegment,Attrition,Attrition_Flag
19,28,26-35,Male,Single,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,2028,14,0,3,3,2,3,2,4,3-5 yrs,2,0,6,5,Yes,1,24,0.7126013691416535,High Flight Risk,Yes,1
20,29,26-35,Female,Divorced,Life Sciences,Research & Development,Manufacturing Director,3,Travel_Rarely,9980,11,1,1,2,3,3,4,10,6-10 yrs,9,8,10,1,No,0,21,0.48051869404949976,Moderate Risk,No,0
21,32,26-35,Male,Divorced,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,3298,12,2,2,1,4,2,4,6,6-10 yrs,2,0,7,0,Yes,1,5,0.8275592417061611,High Flight Risk,No,0
22,22,18-25,Male,Divorced,Medical,Research & Development,Laboratory Technician,1,Non-Travel,2935,13,2,4,4,2,2,4,1,0-2 yrs,0,0,1,1,Yes,1,16,0.6772156398104265,High Flight Risk,No,0
23,53,46-60,Female,Married,Life Sciences,Sales,Manager,4,Travel_Rarely,15427,16,0,4,1,3,3,2,25,20+ yrs,8,3,31,2,No,0,2,0.13565165876777252,Genuinely Retained,No,0
24,38,36-45,Male,Single,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,3944,11,0,4,4,3,3,3,3,3-5 yrs,2,1,6,5,Yes,1,2,0.6115889942074777,Moderate Risk,No,0
26,24,18-25,Female,Divorced,Other,Research & Development,Manufacturing Director,2,Non-Travel,4011,18,1,3,1,4,2,4,4,3-5 yrs,2,1,5,0,No,0,11,0.44171669299631383,Stable but Disengaged,No,0
27,36,36-45,Male,Single,Life Sciences,Sales,Sales Representative,1,Travel_Rarely,3407,23,0,1,3,2,3,2,5,3-5 yrs,3,0,10,7,No,0,9,0.5622446024223275,Moderate Risk,Yes,1
28,34,26-35,Female,Single,Life Sciences,Research & Development,Research Director,3,Travel_Rarely,11994,11,0,2,1,3,3,3,12,11-20 yrs,6,2,13,0,No,0,7,0.37097419694576095,Stable but Disengaged,No,0
30,21,18-25,Male,Single,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,1232,14,0,4,3,4,3,3,0,0-2 yrs,0,0,0,1,No,0,15,0.34765139547130075,Stable but Disengaged,No,0
31,34,26-35,Male,Single,Medical,Research & Development,Research Scientist,1,Travel_Rarely,2960,11,0,1,2,3,3,3,4,3-5 yrs,2,1,8,2,No,0,6,0.5694523433385993,Moderate Risk,Yes,1
32,53,46-60,Female,Divorced,Other,Research & Development,Manager,5,Travel_Rarely,19094,11,1,3,3,4,2,3,14,11-20 yrs,13,4,26,4,No,0,5,0.25786466561348076,Stable but Disengaged,No,0
33,32,26-35,Female,Single,Life Sciences,Research & Development,Research Scientist,1,Travel_Frequently,3919,22,0,1,2,2,3,1,10,6-10 yrs,2,6,10,1,Yes,1,16,0.8443522906793051,High Flight Risk,Yes,1
35,42,36-45,Male,Married,Marketing,Sales,Sales Executive,2,Travel_Rarely,6825,11,1,2,3,4,3,3,9,6-10 yrs,7,4,10,0,No,0,8,0.43291337546076886,Stable but Disengaged,No,0
36,44,36-45,Female,Married,Medical,Research & Development,Healthcare Representative,3,Travel_Rarely,10248,14,1,4,1,4,3,2,22,20+ yrs,6,5,24,3,No,0,7,0.19769615587151135,Genuinely Retained,No,0
38,46,46-60,Female,Single,Marketing,Sales,Manager,5,Travel_Rarely,18947,12,0,1,2,4,2,3,2,0-2 yrs,2,2,22,3,No,0,2,0.4560795155344918,Moderate Risk,No,0
39,33,26-35,Male,Single,Medical,Research & Development,Laboratory Technician,1,Travel_Rarely,2496,11,0,4,3,4,3,3,1,0-2 yrs,1,0,7,4,No,0,2,0.3318391258557135,Stable but Disengaged,No,0
40,44,36-45,Male,Married,Other,Research & Development,Healthcare Representative,2,Travel_Rarely,6465,13,0,4,4,4,4,3,4,3-5 yrs,2,1,9,2,Yes,1,10,0.532538177988415,Moderate Risk,No,0
41,30,26-35,Male,Single,Medical,Research & Development,Laboratory Technician,1,Travel_Rarely,2206,13,0,3,4,1,3,2,10,6-10 yrs,0,1,10,1,No,0,9,0.39572669826224327,Stable but Disengaged,No,0
42,39,36-45,Male,Married,Technical Degree,Sales,Sales Representative,2,Travel_Rarely,2086,14,1,4,4,3,4,3,1,0-2 yrs,0,0,19,3,No,0,5,0.2861571879936809,Stable but Disengaged,Yes,1
45,24,18-25,Male,Married,Medical,Research & Development,Research Scientist,1,Travel_Rarely,2293,16,1,4,2,1,2,3,2,0-2 yrs,0,2,6,2,Yes,1,1,0.681477093206951,High Flight Risk,Yes,1
46,43,36-45,Female,Divorced,Medical,Research & Development,Research Scientist,1,Travel_Rarely,2645,12,2,3,4,4,2,4,5,3-5 yrs,3,1,6,1,No,0,2,0.4536032122169563,Moderate Risk,No,0
47,50,46-60,Male,Married,Marketing,Sales,Sales Representative,1,Travel_Rarely,2683,14,0,3,1,3,3,2,3,3-5 yrs,2,0,3,1,Yes,1,3,0.7082030015797789,High Flight Risk,Yes,1
49,35,26-35,Female,Married,Marketing,Sales,Sales Representative,1,Travel_Rarely,2014,13,0,4,4,1,3,3,2,0-2 yrs,2,2,2,1,No,0,2,0.33441548183254344,Stable but Disengaged,No,0
51,36,36-45,Female,Married,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,3419,14,1,1,2,4,4,2,1,0-2 yrs,1,0,6,9,Yes,1,5,0.8221182201158506,High Flight Risk,No,0
52,33,26-35,Female,Married,Life Sciences,Sales,Sales Executive,2,Travel_Frequently,5376,19,2,1,3,1,3,4,5,3-5 yrs,3,1,10,2,No,0,1,0.5415073723012112,Moderate Risk,No,0
53,35,26-35,Male,Divorced,Other,Research & Development,Laboratory Technician,1,Travel_Rarely,1951,12,1,4,3,3,3,3,1,0-2 yrs,0,0,1,1,No,0,4,0.33757898894154814,Stable but Disengaged,No,0
54,27,26-35,Female,Divorced,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,2341,13,1,1,4,4,3,3,1,0-2 yrs,0,0,1,1,No,0,2,0.5834715639810426,Moderate Risk,No,0
55,26,26-35,Male,Single,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,2293,12,0,3,1,3,2,1,1,0-2 yrs,0,0,1,1,No,0,25,0.46731042654028443,Moderate Risk,Yes,1
56,27,26-35,Male,Single,Life Sciences,Sales,Sales Executive,3,Travel_Frequently,8726,15,0,3,4,4,3,3,9,6-10 yrs,8,1,9,1,No,0,8,0.32955897840968934,Stable but Disengaged,No,0
57,30,26-35,Female,Single,Medical,Research & Development,Laboratory Technician,2,Travel_Frequently,4011,23,0,4,3,4,3,3,12,11-20 yrs,8,3,12,1,No,0,1,0.2883833596629805,Stable but Disengaged,No,0
58,41,36-45,Female,Married,Technical Degree,Research & Development,Research Director,5,Travel_Rarely,19545,12,0,3,2,4,3,3,22,20+ yrs,15,15,23,1,No,0,12,0.1831147972617167,Genuinely Retained,Yes,1
60,34,26-35,Male,Single,Marketing,Sales,Sales Executive,2,Non-Travel,4568,20,0,3,2,3,3,3,9,6-10 yrs,5,8,10,0,No,0,23,0.37335044760400216,Stable but Disengaged,No,0
61,37,36-45,Male,Married,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,3022,21,0,2,2,1,3,3,1,0-2 yrs,0,0,8,4,No,0,19,0.49296603475513434,Moderate Risk,No,0
62,46,46-60,Male,Single,Marketing,Sales,Sales Executive,2,Travel_Frequently,5772,21,0,4,1,3,3,3,9,6-10 yrs,6,0,14,4,Yes,1,5,0.5773367561874672,Moderate Risk,No,0
63,35,26-35,Male,Married,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,2269,19,0,4,4,4,3,4,1,0-2 yrs,0,0,1,1,No,0,8,0.3342298578199052,Stable but Disengaged,No,0
64,48,46-60,Male,Single,Life Sciences,Research & Development,Laboratory Technician,3,Travel_Rarely,5381,13,0,3,1,4,3,2,1,0-2 yrs,0,0,23,9,Yes,1,1,0.6847880463401791,High Flight Risk,Yes,1
65,28,26-35,Male,Single,Technical Degree,Research & Development,Laboratory Technician,1,Travel_Rarely,3441,13,0,3,3,3,2,3,2,0-2 yrs,2,2,2,1,Yes,1,5,0.7527198525539757,High Flight Risk,Yes,1
68,44,36-45,Female,Divorced,Marketing,Sales,Sales Executive,2,Travel_Rarely,5454,21,1,1,2,3,2,3,4,3-5 yrs,3,1,9,5,Yes,1,1,0.8931858873091101,High Flight Risk,No,0
70,35,26-35,Male,Married,Medical,Research & Development,Healthcare Representative,3,Non-Travel,9884,13,1,1,3,3,3,2,4,3-5 yrs,0,2,10,2,Yes,1,11,0.7965297525013165,High Flight Risk,No,0
72,26,26-35,Female,Married,Marketing,Sales,Sales Executive,2,Travel_Rarely,4157,19,1,4,3,3,2,2,2,0-2 yrs,2,0,5,7,Yes,1,23,0.6618457082675092,High Flight Risk,No,0
73,33,26-35,Female,Single,Life Sciences,Research & Development,Research Director,3,Travel_Frequently,13458,12,0,4,1,3,3,3,15,11-20 yrs,14,8,15,1,Yes,1,1,0.48138888888888887,Moderate Risk,No,0
74,35,26-35,Male,Married,Life Sciences,Sales,Sales Executive,3,Travel_Frequently,9069,22,1,1,2,4,2,3,9,6-10 yrs,8,1,9,1,No,0,18,0.5426132174828857,Moderate Risk,No,0
75,35,26-35,Female,Married,Medical,Research & Development,Laboratory Technician,1,Travel_Rarely,4014,15,1,1,3,3,3,3,2,0-2 yrs,2,2,4,3,Yes,1,23,0.8633517640863613,High Flight Risk,No,0
76,31,26-35,Male,Divorced,Life Sciences,Research & Development,Laboratory Technician,2,Travel_Rarely,5915,22,1,4,4,4,2,3,7,6-10 yrs,7,1,10,3,No,0,7,0.33083070036861506,Stable but Disengaged,No,0
77,37,36-45,Male,Divorced,Life Sciences,Research & Development,Manufacturing Director,2,Travel_Rarely,5993,18,1,3,1,3,4,2,7,6-10 yrs,5,0,7,1,No,0,1,0.3133425487098473,Stable but Disengaged,No,0
78,32,26-35,Male,Married,Medical,Research & Development,Manufacturing Director,2,Travel_Rarely,6162,22,1,4,1,2,3,3,9,6-10 yrs,8,7,9,1,Yes,1,1,0.5732293312269616,Moderate Risk,No,0
79,38,36-45,Female,Single,Life Sciences,Research & Development,Laboratory Technician,2,Travel_Frequently,2406,11,0,4,4,4,3,3,10,6-10 yrs,3,9,10,1,No,0,29,0.31028699315429176,Stable but Disengaged,No,0
80,50,46-60,Female,Divorced,Medical,Research & Development,Research Director,5,Travel_Rarely,18740,12,1,3,2,4,2,2,27,20+ yrs,3,13,29,5,Yes,1,7,0.529092943654555,Moderate Risk,No,0
81,59,46-60,Female,Single,Life Sciences,Sales,Sales Executive,3,Travel_Rarely,7637,11,0,1,1,4,2,3,21,20+ yrs,16,7,28,7,No,0,25,0.5276948393891522,Moderate Risk,No,0
83,36,36-45,Female,Divorced,Technical Degree,Research & Development,Healthcare Representative,3,Travel_Rarely,10096,13,3,3,3,2,3,3,17,11-20 yrs,14,12,17,1,No,0,8,0.2951303317535545,Stable but Disengaged,No,0
84,55,46-60,Female,Divorced,Medical,Research & Development,Manager,4,Travel_Rarely,14756,14,3,3,4,3,3,3,5,3-5 yrs,0,0,21,2,Yes,1,8,0.5760518694049499,Moderate Risk,No,0
85,36,36-45,Male,Single,Life Sciences,Research & Development,Manufacturing Director,2,Travel_Frequently,6499,13,0,2,2,3,3,2,6,6-10 yrs,5,0,6,1,No,0,11,0.4438467614533965,Stable but Disengaged,No,0
86,45,36-45,Male,Divorced,Life Sciences,Research & Development,Research Scientist,3,Travel_Rarely,9724,17,1,1,2,3,3,3,1,0-2 yrs,0,0,25,2,No,0,7,0.505714849921011,Moderate Risk,No,0
88,35,26-35,Male,Married,Medical,Research & Development,Research Scientist,1,Travel_Frequently,2194,13,1,1,2,4,2,3,3,3-5 yrs,2,1,5,4,No,0,1,0.6300197472353871,Moderate Risk,No,0
90,36,36-45,Male,Married,Medical,Research & Development,Research Scientist,1,Travel_Rarely,3388,17,1,3,4,1,2,2,1,0-2 yrs,0,0,2,0,Yes,1,9,0.7557780410742496,High Flight Risk,Yes,1
91,59,46-60,Female,Single,Life Sciences,Sales,Sales Executive,2,Travel_Frequently,5473,11,0,3,1,4,2,2,4,3-5 yrs,3,1,20,7,No,0,1,0.42631911532385475,Stable but Disengaged,No,0
94,29,26-35,Male,Married,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,2703,23,1,2,3,4,3,3,5,3-5 yrs,4,0,6,0,No,0,2,0.4863256977356504,Moderate Risk,No,0
95,31,26-35,Male,Single,Medical,Research & Development,Research Scientist,1,Travel_Rarely,2501,17,0,2,3,2,3,3,1,0-2 yrs,1,1,1,1,No,0,1,0.49845313322801477,Moderate Risk,No,0
96,32,26-35,Male,Married,Life Sciences,Research & Development,Research Scientist,2,Travel_Rarely,6220,17,2,2,2,2,3,3,10,6-10 yrs,4,0,10,1,No,0,1,0.436785150078989,Stable but Disengaged,No,0
97,36,36-45,Female,Married,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,3038,12,0,4,2,2,3,4,1,0-2 yrs,0,0,5,3,No,0,6,0.32613085834649813,Stable but Disengaged,No,0
98,31,26-35,Female,Single,Life Sciences,Research & Development,Manufacturing Director,2,Travel_Rarely,4424,23,0,4,3,4,3,3,11,11-20 yrs,7,1,11,1,No,0,8,0.2865337019483939,Stable but Disengaged,No,0
100,35,26-35,Male,Single,Marketing,Sales,Sales Executive,2,Travel_Rarely,4312,14,0,1,3,2,3,2,15,11-20 yrs,13,2,16,0,No,0,1,0.5277132701421801,Moderate Risk,No,0
101,45,36-45,Male,Married,Other,Research & Development,Research Director,3,Travel_Rarely,13245,14,0,1,4,2,4,3,0,0-2 yrs,0,0,17,4,Yes,1,6,0.7211321748288573,High Flight Risk,No,0
102,37,36-45,Male,Single,Medical,Research & Development,Research Director,3,Travel_Rarely,13664,13,0,3,1,1,4,3,5,3-5 yrs,2,0,16,4,No,0,7,0.23755265929436548,Genuinely Retained,No,0
103,46,46-60,Male,Divorced,Medical,Human Resources,Human Resources,2,Travel_Rarely,5021,22,1,2,2,4,3,3,4,3-5 yrs,2,0,16,8,Yes,1,5,0.7644128488678252,High Flight Risk,No,0
104,30,26-35,Male,Married,Life Sciences,Research & Development,Laboratory Technician,2,Travel_Rarely,5126,12,2,4,4,3,2,2,10,6-10 yrs,8,3,10,1,Yes,1,1,0.6316403370194839,Moderate Risk,No,0
105,35,26-35,Male,Single,Medical,Research & Development,Research Scientist,1,Travel_Rarely,2859,18,0,3,2,1,3,2,6,6-10 yrs,4,0,6,1,No,0,1,0.39884939441811484,Stable but Disengaged,No,0
106,55,46-60,Male,Married,Life Sciences,Sales,Sales Executive,3,Travel_Rarely,10239,14,1,4,1,4,3,3,1,0-2 yrs,0,1,24,3,No,0,1,0.2502909426013692,Stable but Disengaged,No,0
107,38,36-45,Female,Divorced,Medical,Research & Development,Research Scientist,2,Non-Travel,5329,12,3,4,2,4,3,1,13,11-20 yrs,11,1,17,7,Yes,1,6,0.5720023696682465,Moderate Risk,No,0
110,34,26-35,Male,Married,Medical,Research & Development,Manufacturing Director,2,Travel_Rarely,4325,15,0,2,1,3,3,3,5,3-5 yrs,2,1,5,1,No,0,1,0.4692430226434966,Moderate Risk,No,0
112,56,46-60,Male,Single,Life Sciences,Research & Development,Manufacturing Director,3,Travel_Rarely,7260,11,0,4,4,1,2,1,6,6-10 yrs,4,0,37,4,No,0,7,0.31916535018430753,Stable but Disengaged,No,0
113,23,18-25,Male,Divorced,Technical Degree,Sales,Sales Representative,1,Travel_Rarely,2322,13,1,1,3,3,3,3,0,0-2 yrs,0,0,3,3,No,0,2,0.5861716692996314,Moderate Risk,No,0
116,51,46-60,Male,Married,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,2075,23,2,4,4,2,3,3,4,3-5 yrs,2,0,10,3,No,0,9,0.3287730384412849,Stable but Disengaged,No,0
117,30,26-35,Male,Married,Life Sciences,Research & Development,Healthcare Representative,2,Travel_Rarely,4152,19,3,4,3,1,3,2,11,11-20 yrs,10,10,11,1,No,0,2,0.2893983675618747,Stable but Disengaged,No,0
118,46,46-60,Male,Single,Medical,Sales,Sales Executive,3,Travel_Rarely,9619,16,0,4,3,4,3,2,9,6-10 yrs,8,4,9,1,No,0,9,0.23682069510268566,Genuinely Retained,Yes,1
119,40,36-45,Male,Married,Life Sciences,Research & Development,Healthcare Representative,4,Travel_Frequently,13503,22,1,2,3,4,2,2,22,20+ yrs,3,11,22,1,No,0,1,0.38008162190626643,Stable but Disengaged,No,0
120,51,46-60,Male,Single,Marketing,Sales,Sales Executive,2,Travel_Rarely,5441,22,0,4,3,4,1,3,10,6-10 yrs,7,1,11,0,Yes,1,21,0.6783228014744602,High Flight Risk,No,0
121,30,26-35,Female,Divorced,Medical,Sales,Sales Executive,2,Travel_Rarely,5209,12,3,2,3,2,2,2,11,11-20 yrs,8,2,11,1,Yes,1,4,0.794932859399684,High Flight Risk,No,0
124,46,46-60,Male,Married,Medical,Research & Development,Healthcare Representative,3,Travel_Frequently,10673,13,1,1,3,3,2,2,10,6-10 yrs,9,9,21,2,Yes,1,1,0.8232201158504477,High Flight Risk,No,0
125,32,26-35,Male,Single,Medical,Sales,Sales Executive,2,Travel_Rarely,5010,16,0,3,2,1,3,3,11,11-20 yrs,8,5,12,1,No,0,6,0.3636953659820959,Stable but Disengaged,No,0
126,54,46-60,Female,Married,Technical Degree,Research & Development,Research Director,3,Travel_Rarely,13549,12,1,3,1,1,1,3,4,3-5 yrs,3,0,16,9,No,0,2,0.391263823064771,Stable but Disengaged,No,0
128,24,18-25,Female,Married,Other,Sales,Sales Executive,2,Travel_Rarely,4999,21,1,3,1,1,2,3,3,3-5 yrs,2,0,4,0,No,0,3,0.4338112164296999,Stable but Disengaged,No,0
129,28,26-35,Male,Married,Medical,Sales,Sales Executive,2,Non-Travel,4221,15,0,3,2,2,4,3,5,3-5 yrs,4,0,5,1,No,0,4,0.33700500263296473,Stable but Disengaged,No,0
131,58,46-60,Male,Single,Medical,Sales,Sales Executive,4,Travel_Rarely,13872,13,0,3,4,3,2,3,37,20+ yrs,10,1,38,0,No,0,10,0.2553620326487625,Stable but Disengaged,No,0
132,44,36-45,Male,Married,Medical,Research & Development,Laboratory Technician,2,Non-Travel,2042,12,1,2,2,3,4,3,3,3-5 yrs,2,1,17,4,No,0,23,0.4482872564507636,Stable but Disengaged,No,0
133,37,36-45,Male,Divorced,Human Resources,Human Resources,Human Resources,1,Travel_Rarely,2073,22,0,1,3,4,3,3,3,3-5 yrs,2,0,7,4,Yes,1,6,0.8812941021590313,High Flight Risk,Yes,1
134,32,26-35,Male,Single,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,2956,13,0,1,4,4,3,3,1,0-2 yrs,0,0,1,1,No,0,1,0.5769944707740916,Moderate Risk,No,0
137,20,18-25,Female,Single,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Frequently,2926,18,0,4,4,2,3,2,1,0-2 yrs,0,1,1,1,Yes,1,6,0.6273104265402845,Moderate Risk,Yes,1
138,34,26-35,Female,Single,Other,Research & Development,Research Scientist,2,Travel_Rarely,4809,14,0,3,1,3,3,3,16,11-20 yrs,13,2,16,1,No,0,6,0.35331226961558715,Stable but Disengaged,No,0
139,37,36-45,Male,Divorced,Life Sciences,Research & Development,Healthcare Representative,2,Non-Travel,5163,14,1,4,3,4,4,2,1,0-2 yrs,0,0,17,5,No,0,2,0.2537506582411796,Stable but Disengaged,No,0
140,59,46-60,Female,Married,Human Resources,Human Resources,Manager,5,Non-Travel,18844,21,1,4,3,4,3,2,3,3-5 yrs,2,2,30,9,No,0,2,0.15466429699842024,Genuinely Retained,No,0
141,50,46-60,Female,Married,Life Sciences,Research & Development,Research Director,5,Travel_Frequently,18172,19,0,2,1,1,2,3,8,6-10 yrs,3,0,28,3,Yes,1,1,0.6659083728278041,High Flight Risk,No,0
142,25,18-25,Male,Single,Marketing,Sales,Sales Executive,2,Travel_Rarely,5744,11,0,3,3,4,3,2,6,6-10 yrs,4,0,6,1,Yes,1,5,0.6684649815692469,High Flight Risk,Yes,1
143,25,18-25,Male,Married,Medical,Research & Development,Research Scientist,1,Travel_Rarely,2889,11,2,4,4,3,3,2,2,0-2 yrs,2,2,2,1,No,0,7,0.3252001053185888,Stable but Disengaged,No,0
144,22,18-25,Female,Single,Medical,Research & Development,Laboratory Technician,1,Travel_Rarely,2871,15,0,4,2,3,3,3,0,0-2 yrs,0,0,1,1,No,0,15,0.3303896787783044,Stable but Disengaged,No,0
145,51,46-60,Female,Single,Medical,Research & Development,Healthcare Representative,3,Travel_Frequently,7484,20,0,1,1,3,2,2,13,11-20 yrs,12,12,23,3,No,0,1,0.5493062137967352,Moderate Risk,No,0
147,34,26-35,Male,Single,Life Sciences,Research & Development,Laboratory Technician,2,Travel_Frequently,6074,24,0,3,1,4,3,1,9,6-10 yrs,7,0,9,1,Yes,1,7,0.657489468141127,High Flight Risk,Yes,1
148,54,46-60,Female,Single,Human Resources,Human Resources,Manager,4,Non-Travel,17328,12,0,4,4,3,3,4,5,3-5 yrs,3,4,23,2,Yes,1,26,0.46563059505002635,Moderate Risk,No,0
150,24,18-25,Male,Married,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,2774,12,1,3,2,3,3,3,5,3-5 yrs,3,1,6,0,No,0,18,0.40224460242232757,Stable but Disengaged,No,0
151,34,26-35,Female,Divorced,Life Sciences,Research & Development,Research Scientist,2,Travel_Rarely,4505,15,1,2,3,3,3,2,1,0-2 yrs,0,0,12,6,No,0,6,0.4773472880463402,Moderate Risk,No,0
152,37,36-45,Male,Single,Life Sciences,Sales,Sales Executive,3,Travel_Rarely,7428,12,0,4,3,1,3,3,5,3-5 yrs,3,1,12,2,No,0,3,0.2698959978936282,Stable but Disengaged,No,0
153,34,26-35,Female,Single,Medical,Research & Development,Manager,3,Travel_Rarely,11631,12,0,1,3,4,3,2,11,11-20 yrs,10,5,14,2,No,0,5,0.46063059505002635,Moderate Risk,No,0
154,36,36-45,Female,Married,Technical Degree,Sales,Sales Executive,3,Travel_Frequently,9738,14,1,4,2,3,3,3,9,6-10 yrs,7,2,10,0,No,0,11,0.23556740389678782,Genuinely Retained,No,0
155,36,36-45,Female,Divorced,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,2835,22,1,4,1,1,3,3,1,0-2 yrs,0,0,7,5,No,0,3,0.32826882569773563,Stable but Disengaged,No,0
158,43,36-45,Male,Married,Life Sciences,Sales,Manager,4,Travel_Frequently,16959,12,2,4,3,4,4,3,25,20+ yrs,12,4,25,1,Yes,1,26,0.36951685097419695,Stable but Disengaged,No,0
159,30,26-35,Male,Divorced,Life Sciences,Research & Development,Research Scientist,1,Travel_Frequently,2613,25,3,3,1,3,2,1,10,6-10 yrs,7,0,10,1,No,0,23,0.44144023170089525,Stable but Disengaged,No,0
160,33,26-35,Male,Married,Marketing,Sales,Sales Executive,2,Non-Travel,6146,13,1,2,3,1,4,3,7,6-10 yrs,7,0,8,0,No,0,22,0.39506450763559775,Stable but Disengaged,No,0
161,56,46-60,Female,Married,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,4963,18,3,2,2,1,3,3,5,3-5 yrs,4,4,7,9,Yes,1,14,0.7625236966824646,High Flight Risk,Yes,1
162,51,46-60,Male,Single,Life Sciences,Research & Development,Research Director,5,Travel_Rarely,19537,13,0,3,1,3,3,3,20,11-20 yrs,18,15,23,7,No,0,6,0.18819905213270144,Genuinely Retained,No,0
163,31,26-35,Male,Married,Life Sciences,Sales,Sales Executive,2,Travel_Rarely,6172,18,0,3,2,2,2,1,7,6-10 yrs,7,7,12,4,Yes,1,6,0.711457345971564,High Flight Risk,Yes,1
